ID,cluster
4167,0
4172,1
4178,1
4189,1
4190,1
4202,0
4205,1
4213,0
4268,0
4294,0
4295,1
4352,1
4355,0
4370,0
4376,0
4383,0
4394,0
4400,0
4405,1
4438,0
4445,0
4448,0
4477,0
4488,0
4529,0
4533,1
4563,0
4564,0
4573,0
4578,0
4671,1
4672,0
4702,0
4735,0
4744,0
4754,1
4756,0
4758,0
4780,2
4785,0
4814,0
4816,0
4825,0
4847,1
4855,1
4858,3
4918,3
4953,1
4969,0
4989,0
5011,0
5027,1
5029,0
5033,1
5036,0
5061,0
5062,1
5119,0
5168,0
5173,0
5202,1
5205,0
5228,0
5238,1
5243,0
5259,1
5270,1
5297,1
5331,0
5343,0
5352,1
5353,0
5373,1
5424,1
5438,0
5451,1
5465,0
5472,1
5489,3
5494,0
5541,0
5544,0
5546,1
5582,0
5584,1
5587,0
5618,1
5629,0
5651,1
5655,1
5660,1
5685,1
5696,1
5717,0
5778,1
5799,0
5804,0
5805,2
5820,0
5846,0
5873,1
5874,0
5880,0
5926,0
5946,0
5965,0
5976,0
6009,0
6017,0
6043,0
6058,1
6063,0
6097,0
6127,0
6130,1
6153,0
6158,0
6172,0
6215,0
6217,3
6220,1
6227,1
6232,1
6233,0
6244,0
6246,1
6284,0
6285,0
6289,0
6339,0
6353,0
6354,0
6391,0
6408,1
6410,0
6447,0
6457,0
6461,0
6463,1
6475,0
6481,0
6504,0
6524,0
6525,0
6527,0
6559,0
6592,3
6594,1
6623,1
6640,1
6641,0
6656,1
6665,0
6670,0
6718,1
6773,0
6831,0
6837,0
6848,0
6860,0
6873,3
6909,3
6911,0
6920,3
6921,0
6934,1
6955,0
6988,0
7005,2
7047,1
7092,0
7095,0
7165,1
7168,1
7181,0
7190,0
7213,0
7222,1
7241,0
7285,0
7289,1
7296,0
7297,3
7322,1
7324,0
7334,0
7363,1
7371,0
7373,0
7390,0
7420,1
7433,0
7436,1
7460,1
7465,1
7471,0
7478,1
7523,0
7537,1
7558,1
7581,1
7588,1
7599,1
7603,1
7613,0
7665,1
7680,1
7690,1
7698,1
7730,0
7747,0
7753,0
7788,0
7799,0
7835,0
7862,0
7919,1
7941,1
7945,1
7969,0
7979,1
7982,0
7987,1
7989,1
8007,1
8008,0
8022,0
8057,0
8079,1
8080,0
8081,1
8099,0
8104,0
8112,1
8117,1
8122,0
8140,1
8175,0
8208,0
8224,1
8231,0
8247,0
8266,0
8278,0
8280,3
8288,0
8324,1
8344,0
8345,3
8382,0
8410,0
8415,0
8417,0
8427,1
8447,0
8473,1
8488,0
8513,0
8518,1
8521,0
8531,0
8543,0
8562,0
8597,0
8605,1
8672,0
8696,1
8729,1
8763,1
8770,0
8793,0
8822,0
8832,0
8849,1
8877,0
8886,1
8891,0
8896,0
8919,0
8922,1
8937,0
8972,1
9002,0
9031,1
9067,0
9078,1
9121,0
9135,0
9153,0
9154,1
9160,0
9164,0
9165,0
9196,0
9204,0
9241,0
9289,1
9305,0
9328,0
9342,3
9368,1
9401,0
9403,1
9409,0
9453,0
9461,0
9465,0
9510,0
9524,0
9564,0
9678,0
9706,0
9730,0
9736,1
9752,0
9797,0
9810,0
9845,1
9859,1
9946,1
9965,1
10001,0
10012,1
10030,0
10041,1
10042,0
10047,1
10053,3
10061,0
10081,0
10108,0
10111,0
10115,0
10152,0
10161,0
10177,0
10178,0
10180,1
10190,1
10204,0
10216,0
10241,0
10257,1
10268,0
10290,1
10293,0
10349,0
10426,0
10441,0
10447,3
10452,0
10498,0
10500,1
10521,0
10538,0
10541,0
10554,0
10569,0
10597,0
10613,0
10629,3
10634,0
10640,1
10651,0
10664,0
10671,0
10685,1
10687,1
10689,1
10692,1
10698,0
10701,1
10703,1
10712,0
10730,0
10738,3
10741,0
10770,3
10830,0
10838,0
10840,0
10858,3
10873,0
10880,0
10891,0
10908,0
10924,0
10931,1
10938,0
10982,0
10989,0
10990,0
10996,0
10999,0
11024,0
11026,1
11049,1
11053,0
11077,0
11094,0
11098,0
11103,1
11106,0
11109,0
11116,1
11134,0
11144,0
11174,0
11195,0
11215,0
11217,1
11231,0
11245,0
11284,0
11290,0
11291,1
11301,1
11315,1
11338,0
11346,0
11350,0
11368,0
11409,0
11424,0
11428,0
11447,0
11472,1
11486,1
11536,0
11575,1
11608,0
11625,1
11628,0
11656,1
11667,1
11694,0
11695,1
11699,0
11700,1
11701,0
11705,0
11714,1
11717,0
11761,0
11772,0
11793,3
